ProcessID=1692 : Parent_ProcessID=1502 : Average_Running_Time=.60241780625000000000
ProcessID=1706 : Parent_ProcessID=1502 : Average_Running_Time=.32596963984674329501
ProcessID=1726 : Parent_ProcessID=1502 : Average_Running_Time=.19046890039171796306
ProcessID=2836 : Parent_ProcessID=1502 : Average_Running_Time=.11418139698881218757
ProcessID=1540 : Parent_ProcessID=1516 : Average_Running_Time=.17885889405214557305
ProcessID=2874 : Parent_ProcessID=1516 : Average_Running_Time=.05995063007181357363
ProcessID=6766 : Parent_ProcessID=1516 : Average_Running_Time=.32652075809716599190
ProcessID=1544 : Parent_ProcessID=1540 : Average_Running_Time=.32775682142857142857
ProcessID=1545 : Parent_ProcessID=1540 : Average_Running_Time=.18516388739300998573
ProcessID=1734 : Parent_ProcessID=1540 : Average_Running_Time=.18938850041315485043
ProcessID=2273 : Parent_ProcessID=2270 : Average_Running_Time=.34292900000000000000
ProcessID=2881 : Parent_ProcessID=2874 : Average_Running_Time=.14767640000000000000
ProcessID=2882 : Parent_ProcessID=2874 : Average_Running_Time=.00582655619788221541
ProcessID=2892 : Parent_ProcessID=2874 : Average_Running_Time=.39408432758620689655
ProcessID=2893 : Parent_ProcessID=2874 : Average_Running_Time=.34114856896551724137
ProcessID=2928 : Parent_ProcessID=2874 : Average_Running_Time=.38839208450704225352
ProcessID=4856 : Parent_ProcessID=2874 : Average_Running_Time=.23036841361256544502
ProcessID=6849 : Parent_ProcessID=2892 : Average_Running_Time=.86544387494900040799
ProcessID=2894 : Parent_ProcessID=2893 : Average_Running_Time=.11709292307692307692
ProcessID=2897 : Parent_ProcessID=2893 : Average_Running_Time=.25258778735632183908
ProcessID=22340 : Parent_ProcessID=2897 : Average_Running_Time=.93550037742150968603
ProcessID=22360 : Parent_ProcessID=2897 : Average_Running_Time=.79556821687500000000
ProcessID=22619 : Parent_ProcessID=2897 : Average_Running_Time=.36904765079365079365
ProcessID=2946 : Parent_ProcessID=2897 : Average_Running_Time=.17718804993342210386
ProcessID=3000 : Parent_ProcessID=2897 : Average_Running_Time=.38761651547882292906
ProcessID=3028 : Parent_ProcessID=2897 : Average_Running_Time=.18923003735632183908
ProcessID=3036 : Parent_ProcessID=2897 : Average_Running_Time=.20641430222841225626
ProcessID=3582 : Parent_ProcessID=2897 : Average_Running_Time=.22468390000000000000
ProcessID=5068 : Parent_ProcessID=2897 : Average_Running_Time=.63654501527659170699
ProcessID=5926 : Parent_ProcessID=2897 : Average_Running_Time=.76574274017552686008
ProcessID=6015 : Parent_ProcessID=2897 : Average_Running_Time=.26330859866220735785
ProcessID=6168 : Parent_ProcessID=2897 : Average_Running_Time=.98016697029250457038
ProcessID=6471 : Parent_ProcessID=2897 : Average_Running_Time=.55955018837505303351
ProcessID=6320 : Parent_ProcessID=6312 : Average_Running_Time=2.35994840000000000000
ProcessID=6318 : Parent_ProcessID=6317 : Average_Running_Time=.21724266703689991361
ProcessID=6321 : Parent_ProcessID=6320 : Average_Running_Time=.69656612504217273954
ProcessID=6329 : Parent_ProcessID=6320 : Average_Running_Time=.21530083687943262411
ProcessID=6851 : Parent_ProcessID=6849 : Average_Running_Time=.08349590697674418604
ProcessID=7010 : Parent_ProcessID=6994 : Average_Running_Time=2.09550674740484429065
ProcessID=7078 : Parent_ProcessID=7044 : Average_Running_Time=.04953494049008168028
ProcessID=7255 : Parent_ProcessID=7252 : Average_Running_Time=.33769595180722891566
ProcessID=7256 : Parent_ProcessID=7252 : Average_Running_Time=.31899103658536585365
ProcessID=7289 : Parent_ProcessID=7252 : Average_Running_Time=3.24164700000000000000
ProcessID=7349 : Parent_ProcessID=7252 : Average_Running_Time=.78730629454545454545
ProcessID=7413 : Parent_ProcessID=7252 : Average_Running_Time=.91617903184956568774
ProcessID=7281 : Parent_ProcessID=7255 : Average_Running_Time=.73714081970908700552
ProcessID=7373 : Parent_ProcessID=7349 : Average_Running_Time=.36703150553894847898
ProcessID=7510 : Parent_ProcessID=7373 : Average_Running_Time=4.74845723076923076923
ProcessID=7445 : Parent_ProcessID=7413 : Average_Running_Time=.58687195543534260690
ProcessID=7458 : Parent_ProcessID=7413 : Average_Running_Time=.36798315004465614766
ProcessID=7473 : Parent_ProcessID=7413 : Average_Running_Time=.83229062745098039215
ProcessID=7593 : Parent_ProcessID=7445 : Average_Running_Time=.64765602380952380952
